,Year,Team,Revenue,Ticket,OI,Population,Income,Age,APG,Playoffs,CSF,CF,Finals,Championship,WP,MPC1,MPC2,MPC3,Followers,Franch_Val
0,2011,Atlanta Hawks,109.0,26.299999999999997,-15,5286728,38774,27.4,15649,1.0,1.0,0,0,0.0,0.5365853658536586,0.05717846667922377,0.109034834177749,0.056331708168910734,0.2,295
1,2012,Atlanta Hawks,123.0,24.972727272727273,-19,5286728,38774,27.9,15200,1.0,0.0,0,0,0.0,0.6060606060606061,-0.011728829518795131,0.07019475887075398,-0.002525449428903297,0.35,270
2,2013,Atlanta Hawks,119.0,23.6,-4,5286728,38774,27.1,15126,1.0,0.0,0,0,0.0,0.5365853658536586,0.0732726604319199,0.12031392688334543,0.10637135050134186,0.52,316
3,2014,Atlanta Hawks,133.0,22.9,15,5286728,38774,27.5,14231,1.0,0.0,0,0,0.0,0.4634146341463415,0.12758335976699714,0.24236861575412622,0.2144579628302167,1.2,425
4,2015,Atlanta Hawks,142.0,27.799999999999997,7,5286728,38774,27.8,17412,1.0,1.0,1,0,0.0,0.7317073170731707,0.05763736653393075,0.11057010835873729,0.06620289280041083,1.78,825
5,2016,Atlanta Hawks,169.0,28.299999999999997,20,5286728,38774,28.2,16833,1.0,1.0,0,0,0.0,0.5853658536585366,-0.009237508942893727,0.05172234679887952,0.003004143340046668,2.24,825
6,2017,Atlanta Hawks,209.0,27.5,22,5286728,38774,27.9,15959,1.0,0.0,0,0,0.0,0.524390243902439,0.029068057908863482,0.04214356241521919,0.0718239987128703,2.71,885
7,2018,Atlanta Hawks,215.0,29.5,42,5286728,38774,25.4,14409,0.0,0.0,0,0,0.0,0.2926829268292683,0.048031516581710475,0.1891652785347468,0.13442055146854662,2.79,"1,150"
8,2019,Atlanta Hawks,251.0,45.3,78,5286728,38774,25.1,15328,0.0,0.0,0,0,0.0,0.35365853658536583,-0.0039565732931468875,0.07510871954646547,0.024492225389362896,2.81,"1,300"
9,2020,Atlanta Hawks,271.7014925373134,40.02089552238806,36,5286728,38774,24.1,16043,0.0,0.0,0,0,0.0,0.29850746268656714,0.04246447401477489,0.08456248595347404,0.2195706782866212,2.78,"1,520"
10,2021,Atlanta Hawks,226.63888888888889,1.765277777777778,37,6089815,58963,25.4,1647,1.0,1.0,1,0,0.0,0.5694444444444444,0.05226118940775785,0.2238339270240182,0.13698453247239445,2.89,"1,680"
11,2011,Boston Celtics,146.0,52.70000000000001,8,4552402,57975,29.5,18624,1.0,1.0,0,0,0.0,0.6829268292682927,0.05717846667922377,0.109034834177749,0.056331708168910734,6.85,452
12,2012,Boston Celtics,177.66666666666666,52.67878787878787,19,4552402,57975,29.3,18624,1.0,1.0,1,0,0.0,0.5909090909090909,-0.011728829518795131,0.07019475887075398,-0.002525449428903297,7.48,482
13,2013,Boston Celtics,171.08641975308643,55.071604938271605,47,4552402,57975,29.1,18624,1.0,0.0,0,0,0.0,0.5061728395061729,0.0732726604319199,0.12031392688334543,0.10637135050134186,8.22,730
14,2014,Boston Celtics,173.0,54.20000000000001,55,4552402,57975,25.4,18107,0.0,0.0,0,0,0.0,0.3048780487804878,0.12758335976699714,0.24236861575412622,0.2144579628302167,10.05,875
15,2015,Boston Celtics,181.0,51.20000000000001,57,4552402,57975,25.0,17594,1.0,0.0,0,0,0.0,0.4878048780487805,0.05763736653393075,0.11057010835873729,0.06620289280041083,10.32,"1,700"
16,2016,Boston Celtics,200.0,49.4,65,4552402,57975,25.2,18270,1.0,0.0,0,0,0.0,0.5853658536585366,-0.009237508942893727,0.05172234679887952,0.003004143340046668,10.73,"2,100"
17,2017,Boston Celtics,257.0,64.7,85,4552402,57975,25.9,18553,1.0,1.0,1,0,0.0,0.6463414634146342,0.029068057908863482,0.04214356241521919,0.0718239987128703,11.5,"2,200"
18,2018,Boston Celtics,287.0,63.29999999999999,100,4552402,57975,24.7,18624,1.0,1.0,1,0,0.0,0.6707317073170732,0.048031516581710475,0.1891652785347468,0.13442055146854662,12.21,"2,500"
19,2019,Boston Celtics,304.0,72.5,88,4552402,57975,25.7,18624,1.0,1.0,0,0,0.0,0.5975609756097561,-0.0039565732931468875,0.07510871954646547,0.024492225389362896,12.51,"2,800"
20,2020,Boston Celtics,312.05555555555554,73.00277777777778,86,4552402,57975,25.3,19090,1.0,1.0,1,0,0.0,0.6666666666666666,0.04246447401477489,0.08456248595347404,0.2195706782866212,12.37,"3,100"
21,2021,Boston Celtics,240.30555555555554,0.82,46,4941632,86239,25.1,835,1.0,0.0,0,0,0.0,0.5,0.05226118940775785,0.2238339270240182,0.13698453247239445,12.3,"3,550"
22,2011,Brooklyn Nets,89.0,23.3,-24,19567410,54270,24.8,13949,0.0,0.0,0,0,0.0,0.2926829268292683,0.05717846667922377,0.109034834177749,0.056331708168910734,0.2,312
23,2012,Brooklyn Nets,104.36363636363636,21.245454545454546,-17,19567410,54270,26.1,13961,0.0,0.0,0,0,0.0,0.3333333333333333,-0.011728829518795131,0.07019475887075398,-0.002525449428903297,0.52,357
24,2013,Brooklyn Nets,190.0,39.5,-19,19567410,54270,28.6,17188,1.0,0.0,0,0,0.0,0.5975609756097561,0.0732726604319199,0.12031392688334543,0.10637135050134186,1.46,530
25,2014,Brooklyn Nets,212.0,42.4,-99,19567410,54270,30.0,17252,1.0,1.0,0,0,0.0,0.5365853658536586,0.12758335976699714,0.24236861575412622,0.2144579628302167,2.71,780
26,2015,Brooklyn Nets,220.0,46.1,-6,19567410,54270,28.6,17037,1.0,0.0,0,0,0.0,0.4634146341463415,0.05763736653393075,0.11057010835873729,0.06620289280041083,3.2,"1,500"
